Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,C_Small,C_0603_1608Metric,160.655,-103.505,90,top
C2,C_Small,C_0402_1005Metric,146.05,-102.87,0,top
C3,C_Small,C_0402_1005Metric,159.385,-103.505,90,top
D1,LED,LED_0402_1005Metric,157.48,-109.22,-90,top
D2,LED,LED_0402_1005Metric,144.78,-108.71,-90,top
F1,Fuse,Fuse_0603_1608Metric,158.115,-104.14,90,top
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_XKB_U262-16XN-4BVC11,151.13,-109.855,0,top
R1,R,R_0402_1005Metric,149.86,-102.87,-90,top
R2,R,R_0402_1005Metric,152.4,-102.87,-90,top
R3,R,R_0603_1608Metric,158.75,-109.22,90,top
R4,R,R_0402_1005Metric,143.51,-108.71,-90,top
SW1,SW_Push,SW_PUSH_6mm_H5mm,147.88,-91.73,0,top
SW2,SW_Push,SW_PUSH_6mm_H5mm,166.295,-91.73,0,top
SW3,SW_DIP_x01,DS-850k,128.905,-95.885,-90,top
U1,CH340E,MSOP-10_3x3mm_P0.5mm,141.605,-104.14,0,top
