Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C2","C_Small","C_0402_1005Metric",-13.335074,23.876000,180.000000,top
"C3","C_Small","C_0402_1005Metric",-13.335074,26.416000,180.000000,top
"C4","C_Small","C_0402_1005Metric",-13.335074,28.956000,180.000000,top
"C5","C","C_0402_1005Metric",22.704926,32.385000,0.000000,top
"C7","C_Small","C_0402_1005Metric",-32.385074,32.385000,180.000000,top
"C8","C_Small","C_0402_1005Metric",-32.385074,19.685000,180.000000,top
"C9","C_Small","C_0402_1005Metric",-23.495074,27.305000,0.000000,top
"C10","C_Small","C_0402_1005Metric",-23.495074,24.765000,0.000000,top
"C11","C_Small","C_0402_1005Metric",-23.495074,22.225000,0.000000,top
"C12","C_Small","C_0402_1005Metric",-32.385074,29.845000,0.000000,top
"C13","C_Small","C_0402_1005Metric",-32.385074,27.305000,0.000000,top
"C14","C_Small","C_0402_1005Metric",-32.385074,24.765000,0.000000,top
"C15","C_Small","C_0402_1005Metric",-32.385074,22.225000,0.000000,top
"D2","LED","LED_0402_1005Metric",-28.575074,-24.765000,90.000000,top
"D3","LED","LED_0402_1005Metric",-26.035074,-24.765000,90.000000,top
"R1","22k","R_0402_1005Metric",-13.335074,25.146000,0.000000,top
"R2","22k","R_0402_1005Metric",-13.335074,27.686000,0.000000,top
"R3","22k","R_0402_1005Metric",-13.335074,30.226000,0.000000,top
"R5","10K","R_0402_1005Metric",22.704926,33.655000,180.000000,top
"R6","10k","R_0402_1005Metric",-34.925074,-19.050000,0.000000,top
"R7","100k","R_0402_1005Metric",-34.925074,-1.270000,0.000000,top
"R8","10k","R_0402_1005Metric",-34.925074,1.270000,0.000000,top
"R9","100k","R_0402_1005Metric",-34.925074,3.810000,0.000000,top
"R10","100k","R_0402_1005Metric",-34.925074,6.350000,0.000000,top
"R11","100k","R_0402_1005Metric",-34.925074,8.890000,0.000000,top
"R12","100k","R_0402_1005Metric",-34.925074,11.430000,0.000000,top
"R13","10k","R_0402_1005Metric",-34.925074,13.970000,0.000000,top
"R14","1k","R_0402_1005Metric",-29.845074,-24.765000,90.000000,top
"R15","1k","R_0402_1005Metric",-27.305074,-24.765000,90.000000,top
"R16","100k","R_0402_1005Metric",-20.955074,6.350000,180.000000,top
"R17","100k","R_0402_1005Metric",-20.955074,3.810000,180.000000,top
"R18","100k","R_0402_1005Metric",-20.955074,1.270000,180.000000,top
"R19","100k","R_0402_1005Metric",-20.955074,-1.270000,180.000000,top
"R20","100k","R_0402_1005Metric",-20.955074,-3.810000,180.000000,top
"R21","10k","R_0402_1005Metric",-20.955074,-11.430000,180.000000,top
"R22","10k","R_0402_1005Metric",-20.955074,-13.970000,180.000000,top
"R23","10k","R_0402_1005Metric",-20.955074,-19.050000,180.000000,top
"R24","100k","R_0402_1005Metric",-32.385074,20.955000,180.000000,top
"R25","100k","R_0402_1005Metric",-23.495074,28.575000,0.000000,top
"R26","100k","R_0402_1005Metric",-23.495074,26.035000,0.000000,top
"R27","100k","R_0402_1005Metric",-23.495074,23.495000,0.000000,top
"R28","22k","R_0402_1005Metric",-32.385074,33.655000,180.000000,top
"R29","100k","R_0402_1005Metric",-32.385074,31.115000,0.000000,top
"R30","100k","R_0402_1005Metric",-32.385074,28.575000,0.000000,top
"R31","100k","R_0402_1005Metric",-32.385074,26.035000,0.000000,top
"R32","100k","R_0402_1005Metric",-32.385074,23.495000,0.000000,top
"R33","R_Variable","可変抵抗(小)",-16.764074,-16.859000,0.000000,top
"U1","MPU6050","MPU6050",35.559926,17.780000,0.000000,top
"U3","Seeeduino_Xiao","seeeduinoXIAO",27.939926,27.940000,180.000000,top
"U4","PIC18F26K20_ISS","DIP-28_W7.62mm_Socket",-31.740074,13.985000,0.000000,top
"U9","Seeeduino_Xiao","seeeduinoXIAO",-27.940074,27.940000,180.000000,top
