Comment,Designator,Footprint,LCSC
"Buzzer","BZ1","Buzzer_Beeper:Buzzer_12x9.5RM7.6",""
"C_Small","C2,C3,C4,C7,C8,C9,C10,C11,C12,C13,C14,C15","Capacitor_SMD:C_0402_1005Metric","C528972"
"C","C5","Capacitor_SMD:C_0402_1005Metric","C507422"
"C","C6","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"D","D1","Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal",""
"LED","D2,D3","LED_SMD:LED_0402_1005Metric","C130725"
"Conn_01x06_Female","J1","Connector_JST:JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical",""
"Conn_01x02_Female","J2","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",""
"Conn_01x04_Female","J3,J4,J5","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical",""
"22k","R1,R2,R3,R28","Resistor_SMD:R_0402_1005Metric","C25768"
"1k","R14,R15","Resistor_SMD:R_0402_1005Metric","C11702"
"R_Variable","R4,R33","可変抵抗:可変抵抗(小)",""
"10K","R5","Resistor_SMD:R_0402_1005Metric","C269674"
"10k","R6,R8,R13,R21,R22,R23","Resistor_SMD:R_0402_1005Metric","C269674"
"100k","R7,R9,R10,R11,R12,R16,R17,R18,R19,R20,R24,R25,R26,R27,R29,R30,R31,R32","Resistor_SMD:R_0402_1005Metric","C269673"
"SW_DIP_x01","SW1","Lib:2MS1T2B4M2QES",""
"SW_Push","SW2","Button_Switch_THT:SW_PUSH_6mm_H5mm",""
"SW_DIP_x01","SW3","Button_Switch_THT:SW_PUSH_6mm_H5mm",""
"MPU6050","U1","Lib:MPU6050",""
"open_mv","U2","Lib:OpenMV",""
"Seeeduino_Xiao","U3,U9","Lib:seeeduinoXIAO",""
"PIC18F26K20_ISS","U4","Package_DIP:DIP-28_W7.62mm_Socket",""
"TSSP58038","U5,U6,U7,U8,U10,U11,U12,U13","Lib:TSSP58038_IR",""
