Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","C","C_0402_1005Metric",155.575000,-130.175000,0.000000,top
"C2","C","C_0402_1005Metric",166.370000,-130.175000,180.000000,top
"C3","C_Small","C_0402_1005Metric",151.130000,-106.045000,-90.000000,top
"C4","C_Small","C_0402_1005Metric",149.225000,-106.045000,180.000000,top
"C5","C_Small","C_0402_1005Metric",153.035000,-106.045000,0.000000,top
"C6","C_Small","C_0402_1005Metric",155.575000,-106.045000,0.000000,top
"C7","C_Small","C_0402_1005Metric",157.480000,-106.045000,-90.000000,top
"C8","C_Small","C_0402_1005Metric",158.750000,-106.045000,-90.000000,top
"C9","C","C_0402_1005Metric",180.975000,-130.175000,0.000000,top
"C10","C_Small","C_0402_1005Metric",160.020000,-106.045000,-90.000000,top
"C11","C_Small","C_0402_1005Metric",161.290000,-106.045000,-90.000000,top
"C12","C_Small","C_0402_1005Metric",162.405000,-106.045000,-90.000000,top
"C13","C","C_0402_1005Metric",142.875000,-130.175000,0.000000,top
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_XKB_U262-16XN-4BVC11",146.685000,-148.590000,0.000000,top
"J2","Conn_01x06_Female","PinHeader_2x03_P2.54mm_Vertical",127.650000,-115.575000,90.000000,top
"J3","Conn_01x10_Female","PinHeader_1x10_P2.54mm_Vertical",163.825000,-84.836000,-90.000000,top
"J4","USB_C_Receptacle_USB2.0","USB_C_Receptacle_XKB_U262-16XN-4BVC11",158.115000,-148.590000,0.000000,top
"J5","Conn_01x10_Female","PinHeader_1x10_P2.54mm_Vertical",163.830000,-77.216000,-90.000000,top
"J6","Conn_01x17_Female","LCDmodule_aqm1248a",152.400000,-118.745000,180.000000,top
"J7","USB_C_Receptacle_USB2.0","USB_C_Receptacle_XKB_U262-16XN-4BVC11",169.545000,-147.320000,0.000000,top
"J8","Conn_01x10_Female","PinHeader_1x10_P2.54mm_Vertical",163.830000,-81.026000,-90.000000,top
"J9","Conn_01x06_Female","PinHeader_2x03_P2.54mm_Vertical",172.085000,-116.205000,90.000000,top
"J10","USB_C_Receptacle_USB2.0","USB_C_Receptacle_XKB_U262-16XN-4BVC11",135.255000,-147.320000,0.000000,top
"L","SW_DIP_x01","SW_PUSH_6mm_H5mm",138.665000,-132.775000,0.000000,top
"R","SW_DIP_x01","SW_PUSH_6mm_H5mm",176.765000,-132.775000,0.000000,top
"R1","10K","R_0402_1005Metric",153.545000,-130.175000,0.000000,top
"R2","R","R_0402_1005Metric",145.415000,-142.875000,90.000000,top
"R3","R","R_0402_1005Metric",148.590000,-142.875000,90.000000,top
"R4","10K","R_0402_1005Metric",142.240000,-106.170000,90.000000,top
"R5","10K","R_0402_1005Metric",168.275000,-130.175000,180.000000,top
"R6","R","R_0402_1005Metric",156.845000,-142.875000,90.000000,top
"R7","R","R_0402_1005Metric",160.020000,-142.875000,90.000000,top
"R8","10K","R_0402_1005Metric",179.070000,-130.175000,0.000000,top
"R9","10K","R_0402_1005Metric",140.970000,-130.175000,0.000000,top
"R10","R","R_0402_1005Metric",168.275000,-141.605000,90.000000,top
"R11","R","R_0402_1005Metric",171.450000,-141.605000,90.000000,top
"R12","R","R_0402_1005Metric",133.985000,-141.605000,90.000000,top
"R13","R","R_0402_1005Metric",137.160000,-141.605000,90.000000,top
"START","SW_DIP_x01","SW_PUSH_6mm_H5mm",151.365000,-132.775000,0.000000,top
"STOP","SW_DIP_x01","SW_PUSH_6mm_H5mm",164.065000,-132.775000,0.000000,top
