Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","22pf","C_0402_1005Metric",21.971000,37.974000,90.000000,top
"C2","22pf","C_0402_1005Metric",27.482800,37.974000,-90.000000,top
"C3","C","C_0402_1005Metric",6.680800,-35.051000,0.000000,top
"C4","C_Small","C_0402_1005Metric",-4.445000,56.516000,90.000000,top
"C5","C_Small","C_0402_1005Metric",53.915004,-17.521092,-22.500000,top
"C6","C_Small","C_0402_1005Metric",-43.105936,-36.819757,-135.000000,top
"C7","1uf","C_0402_1005Metric",35.179000,34.418000,45.000000,top
"C8","C_Small","C_0402_1005Metric",17.521092,53.915004,67.500000,top
"C9","C_Small","C_0402_1005Metric",43.105936,-36.819757,-45.000000,top
"C10","C_Small","C_0402_1005Metric",-50.512947,-25.734381,-157.500000,top
"C11","C_Small","C_0402_1005Metric",43.105936,36.819757,45.000000,top
"C12","C_Small","C_0402_1005Metric",25.734381,-50.512947,-67.500000,top
"C13","C_Small","C_0402_1005Metric",-56.516000,-4.445000,180.000000,top
"C14","C_Small","C_0402_1005Metric",50.512948,25.734381,22.500000,top
"C15","C_Small","C_0402_1005Metric",4.445000,-56.516000,-90.000000,top
"C16","C_Small","C_0402_1005Metric",-53.915004,17.521092,157.500000,top
"C17","22pf","C_0402_1005Metric",-27.178000,38.228000,90.000000,top
"C18","22pf","C_0402_1005Metric",-21.717000,38.228000,-90.000000,top
"C19","C_Small","C_0402_1005Metric",56.516000,4.445000,0.000000,top
"C20","C_Small","C_0402_1005Metric",-17.521092,-53.915004,-112.500000,top
"C21","C_Small","C_0402_1005Metric",-43.105936,36.819757,135.000000,top
"C22","1uf","C_0402_1005Metric",-25.739411,34.205589,45.000000,top
"C23","C_Small","C_0402_1005Metric",-25.734381,50.512947,112.500000,top
"C24","C_Small","C_0402_1005Metric",-27.759600,-21.131800,180.000000,top
"C25","C_Small","C_0402_1005Metric",-27.787600,2.236200,0.000000,top
"C26","C_Small","C_0402_1005Metric",-27.787600,-5.383800,0.000000,top
"C27","C_Small","C_0402_1005Metric",-27.787600,4.776200,0.000000,top
"C28","C_Small","C_0402_1005Metric",-27.811000,-7.923800,0.000000,top
"C29","C","C_0402_1005Metric",-4.775200,-35.051000,0.000000,top
"C30","C","C_0402_1005Metric",-16.233200,-35.051000,0.000000,top
"C31","C_Small","C_0402_1005Metric",-27.787600,-0.303800,180.000000,top
"C32","C_Small","C_0402_1005Metric",-27.787600,-2.843800,180.000000,top
"C33","C_Small","C_0402_1005Metric",-27.811000,-10.413000,180.000000,top
"C34","C_Small","C_0402_1005Metric",-27.813000,-13.003800,180.000000,top
"Cam Reset","SW_DIP_x01","SW_PUSH_6mm_H5mm",20.395000,-41.619000,180.000000,top
"D1","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",0.000000,55.246000,0.000000,top
"D2","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",51.040649,-21.141729,-112.500000,top
"D3","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-39.064114,-39.064114,135.000000,top
"D4","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",21.141729,51.040649,-22.500000,top
"D5","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",39.064821,-39.064821,-135.000000,top
"D6","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-51.039725,-21.141346,112.500000,top
"D7","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",39.064821,39.064821,-45.000000,top
"D8","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",21.140964,-51.038801,-157.500000,top
"D9","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-55.245000,0.000000,90.000000,top
"D10","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",51.040649,21.141729,-67.500000,top
"D11","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",0.000000,-55.244000,180.000000,top
"D12","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-51.039725,21.141346,67.500000,top
"D13","LED","LED_0402_1005Metric",37.973000,24.766000,90.000000,top
"D14","LED","LED_0402_1005Metric",35.941000,24.766000,90.000000,top
"D15","LED","LED_0402_1005Metric",33.909000,24.766000,90.000000,top
"D16","LED","LED_0402_1005Metric",-37.592000,24.766000,90.000000,top
"D17","LED","LED_0402_1005Metric",-35.560000,24.766000,90.000000,top
"D18","LED","LED_0402_1005Metric",-33.528000,24.766000,90.000000,top
"D19","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",55.246000,0.000000,-90.000000,top
"D20","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-21.140964,-51.038801,157.500000,top
"D21","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-39.064821,39.064821,45.000000,top
"D22","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-21.141729,51.040649,22.500000,top
"Gyro Reset","SW_DIP_x01","SW_PUSH_6mm_H5mm",8.890000,-41.619000,180.000000,top
"R1","10K","R_0402_1005Metric",4.620800,-35.051000,0.000000,top
"R2","22","R_0402_1005Metric",35.814000,33.529000,45.000000,top
"R3","22","R_0402_1005Metric",36.576000,32.767000,45.000000,top
"R4","1k","R_0402_1005Metric",38.989000,24.768000,-90.000000,top
"R5","1k","R_0402_1005Metric",36.957000,24.766000,-90.000000,top
"R6","1k","R_0402_1005Metric",34.925000,24.768000,-90.000000,top
"R7","1k","R_0402_1005Metric",-38.608000,24.766000,-90.000000,top
"R8","1k","R_0402_1005Metric",-36.576000,24.766000,-90.000000,top
"R9","1k","R_0402_1005Metric",-34.544000,24.766000,-90.000000,top
"R10","22","R_0402_1005Metric",-34.650624,33.381624,135.000000,top
"R11","22","R_0402_1005Metric",-35.412624,32.619624,135.000000,top
"R12","R_Trim","可変抵抗(小)",17.780000,-22.700000,0.000000,top
"R13","R_Trim","可変抵抗(小)",-17.780000,-22.700000,0.000000,top
"R14","100k","R_0402_1005Metric",-27.787600,1.220200,0.000000,top
"R15","100k","R_0402_1005Metric",-27.787600,-6.399800,0.000000,top
"R16","100k","R_0402_1005Metric",-27.787600,3.760200,0.000000,top
"R17","100k","R_0402_1005Metric",-27.813000,-8.939800,0.000000,top
"R18","10K","R_0402_1005Metric",-6.807200,-35.051000,0.000000,top
"R19","10K","R_0402_1005Metric",-18.267200,-35.051000,0.000000,top
"R20","100k","R_0402_1005Metric",-27.787600,-1.319800,180.000000,top
"R21","100k","R_0402_1005Metric",-27.787600,-3.859800,180.000000,top
"R22","100k","R_0402_1005Metric",-27.811000,-11.429000,180.000000,top
"R23","100k","R_0402_1005Metric",-27.813000,-14.019800,180.000000,top
"SW10","SW_DIP_x01","SW_PUSH_6mm_H5mm",-2.540000,-41.619000,180.000000,top
"U2","ATmega32U4-MU","QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm",30.480000,29.831000,-135.000000,top
"U5","ATmega32U4-MU","QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm",-30.129239,29.861000,-135.000000,top
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",24.720000,37.466000,0.000000,top
"Y2","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",-24.459239,37.466000,0.000000,top
"programmable switch","SW_DIP_x01","SW_PUSH_6mm_H5mm",-13.970000,-41.655000,180.000000,top
