Comment,Designator,Footprint,LCSC
"Buzzer","BZ1","Buzzer_Beeper:Buzzer_12x9.5RM7.6",""
"22pf","C1,C2,C17,C18","Capacitor_SMD:C_0402_1005Metric","C1555"
"C","C3,C29,C30","Capacitor_SMD:C_0402_1005Metric","C507422"
"C_Small","C4,C5,C6,C8,C9,C10,C11,C12,C13,C14,C15,C16,C19,C20,C21,C23,C24,C25,C26,C27,C28,C31,C32,C33,C34","Capacitor_SMD:C_0402_1005Metric","C507422"
"1uf","C7,C22","Capacitor_SMD:C_0402_1005Metric","C52923"
"WS2812B","D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D19,D20,D21,D22","LED_SMD:LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm","C2761795"
"LED","D13,D14,D15,D16,D17,D18","LED_SMD:LED_0402_1005Metric","C130725"
"D","D23","Diode_THT:D_A-405_P7.62mm_Horizontal",""
"Conn_01x10_Female","J1,J4,J7","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical",""
"Conn_01x10_Female","J2","Connector_JST:JST_XH_S10B-XH-A-1_1x10_P2.50mm_Horizontal",""
"Conn_01x04_Female","J3","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"Conn_01x03_Female","J5","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",""
"Conn_01x02_Female","J6,J9","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",""
"Conn_01x04_Female","J8","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical",""
"10K","R1,R18,R19","Resistor_SMD:R_0402_1005Metric","C269674"
"R_Trim","R12,R13","可変抵抗:可変抵抗(小)",""
"100k","R14,R15,R16,R17,R20,R21,R22,R23","Resistor_SMD:R_0402_1005Metric","C269673"
"22","R2,R3,R10,R11","Resistor_SMD:R_0402_1005Metric","C25092"
"1k","R4,R5,R6,R7,R8,R9","Resistor_SMD:R_0402_1005Metric","C11702"
"SW_DIP_x01","SW1,SW4","Lib:2MS1T2B4M2QES",""
"SW_DIP_x01","SW2,SW9,SW10,SW11","Button_Switch_THT:SW_PUSH_6mm_H5mm",""
"Akizuki_Logiv_Level_converter","U1,U4","Lib:Akizuki_Logic_Level_converter",""
"ATmega32U4-MU","U2,U5","Package_DFN_QFN:QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm","C112161"
"MPU6050","U3","Lib:MPU6050",""
"open_mv","U6","Lib:OpenMV",""
"Teensy4.0","U7","Lib:Teensy_Brakeout",""
"TSSP58038","U8,U9,U10,U11,U12,U13,U14,U15","Lib:TSSP58038_IR",""
"16MHz","Y1,Y2","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","C164049"
