Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C3","C_Small","C_0402_1005Metric",151.130000,-106.200000,-90.000000,top
"C4","C_Small","C_0402_1005Metric",149.098000,-106.680000,180.000000,top
"C5","C_Small","C_0402_1005Metric",152.908000,-106.680000,0.000000,top
"C6","C_Small","C_0402_1005Metric",155.448000,-106.680000,0.000000,top
"C7","C_Small","C_0402_1005Metric",157.452000,-106.200000,-90.000000,top
"C8","C_Small","C_0402_1005Metric",158.750000,-106.200000,-90.000000,top
"C10","C_Small","C_0402_1005Metric",160.020000,-106.172000,-90.000000,top
"C11","C_Small","C_0402_1005Metric",161.290000,-106.200000,-90.000000,top
"C12","C_Small","C_0402_1005Metric",162.560000,-106.172000,-90.000000,top
"FB1","Ferrite_Bead","Fuse_0805_2012Metric",175.084500,-141.478000,0.000000,top
"FB2","Ferrite_Bead","Fuse_0805_2012Metric",129.794000,-141.478000,180.000000,top
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_XKB_U262-16XN-4BVC11",146.050000,-148.590000,0.000000,top
"J2","USB_C_Receptacle_USB2.0","USB_C_Receptacle_XKB_U262-16XN-4BVC11",171.450000,-147.320000,0.000000,top
"J3","Conn_01x10_Female","PinHeader_1x10_P2.54mm_Vertical",140.985000,-80.670400,90.000000,top
"J4","USB_C_Receptacle_USB2.0","USB_C_Receptacle_XKB_U262-16XN-4BVC11",158.750000,-148.590000,0.000000,top
"J5","Conn_01x10_Female","PinHeader_1x10_P2.54mm_Vertical",140.980000,-77.216000,90.000000,top
"J6","Conn_01x17_Female","LCDmodule_aqm1248a",152.400000,-118.745000,180.000000,top
"J7","USB_C_Receptacle_USB2.0","USB_C_Receptacle_XKB_U262-16XN-4BVC11",133.350000,-147.320000,0.000000,top
"L","SW_DIP_x01","SW_PUSH_6mm_H5mm",144.780000,-137.160000,180.000000,top
"R","SW_DIP_x01","SW_PUSH_6mm_H5mm",182.828000,-137.160000,180.000000,top
"R1","10K","R_0402_1005Metric",143.510000,-106.172000,-90.000000,top
"R2","R","R_0402_1005Metric",144.780000,-142.494000,90.000000,top
"R3","R","R_0402_1005Metric",147.828000,-142.494000,90.000000,top
"R4","10K","R_0402_1005Metric",142.240000,-106.172000,90.000000,top
"R5","22R","R_0402_1005Metric",171.704000,-141.478000,-90.000000,top
"R6","R","R_0402_1005Metric",157.480000,-142.494000,90.000000,top
"R7","R","R_0402_1005Metric",160.528000,-142.494000,90.000000,top
"R8","R","R_0402_1005Metric",169.672000,-141.478000,-90.000000,top
"R9","R","R_0402_1005Metric",172.720000,-141.478000,-90.000000,top
"R10","22R","R_0402_1005Metric",170.688000,-141.478000,-90.000000,top
"R11","22R","R_0402_1005Metric",134.112000,-141.478000,-90.000000,top
"R12","R","R_0402_1005Metric",132.080000,-141.478000,-90.000000,top
"R13","R","R_0402_1005Metric",135.128000,-141.478000,-90.000000,top
"R14","22R","R_0402_1005Metric",133.096000,-141.478000,-90.000000,top
"START","SW_DIP_x01","SW_PUSH_6mm_H5mm",157.480000,-137.160000,180.000000,top
"STOP","SW_DIP_x01","SW_PUSH_6mm_H5mm",170.180000,-137.160000,180.000000,top
