Comment,Designator,Footprint,LCSC
"Battery","BT1","Connector_JST:JST_VH_B2P-VH-B_1x02_P3.96mm_Vertical",""
"22μF","C1","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm",""
"10μF","C2","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm",""
"0.33μF","C3","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm",""
"33μF","C4","Capacitor_THT:C_Radial_D6.3mm_H11.0mm_P2.50mm",""
"D_Shockley","D1","Diode_THT:D_5W_P12.70mm_Horizontal",""
"Fuse","F1","Lib:fuse_socket",""
"Conn_01x02_Female","J1,J2","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",""
"Conn_01x03_Female","J3","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",""
"Voltmeter_DC","MES1","Lib:voltage_counter",""
"20K","R1","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"1.2k","R2","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"R_Potentiometer_Trim_US","RV1","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical",""
"SW_DIP_x01","SW1","Lib:DS-850k",""
"SW_DIP_x01","SW2","Lib:2MS1T2B4M2QES",""
"OKL-T_6-W12N-C","U1","Lib:DCDC-murata-6A",""
"TA48033S","U2","Lib:TA48033S",""
