Comment,Designator,Footprint,LCSC
"C","C1,C2","Capacitor_SMD:C_0402_1005Metric","C1555"
"1uF","C10","Capacitor_SMD:C_0402_1005Metric","C167339"
"100nF","C3,C4,C5,C6,C13,C14,C15","Capacitor_SMD:C_0402_1005Metric","C41851"
"22pF","C7,C8,C16","Capacitor_SMD:C_0402_1005Metric","C1555"
"C_Small","C9,C11,C12,C17,C18,C19,C20","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm",""
"LED","D1,D2,D3,D4","LED_SMD:LED_0402_1005Metric","C130725"
"Conn_01x04_Female","J1","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Horizontal",""
"Conn_01x05_Female","J2,J4,J5","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Horizontal",""
"Conn_01x04_Female","J3,J6","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical",""
"Conn_01x06_Female","J7","Connector_JST:JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical",""
"10K","R1","Resistor_SMD:R_0402_1005Metric","C25744"
"1k","R2,R3,R4,R5,R6,R7,R8","Resistor_SMD:R_0402_1005Metric","C11702"
"10k","R9,R10,R11","Resistor_SMD:R_0402_1005Metric","C25744"
"SW_DIP_x01","SW1","Lib:2MS1T2B4M2QES",""
"ATmega2560-16AU","U1","Package_QFP:TQFP-100_14x14mm_P0.5mm",""
"ATmega16U2-MU","U2","Package_DFN_QFN:QFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm",""
"Crystal","Y1,Y2","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","C164049"
