Ref,Val,Package,PosX,PosY,Rot,Side
"BZ1","Buzzer","Buzzer_12x9.5RM7.6",30.490000,-25.400000,180.000000,bottom
"D20","D","D_A-405_P7.62mm_Horizontal",-15.748000,-24.130000,0.000000,bottom
"D21","D","D_A-405_P7.62mm_Horizontal",-15.748000,-29.210000,0.000000,bottom
"J1","Conn_01x04_Female","PinSocket_1x04_P2.54mm_Vertical",-22.987000,27.178000,0.000000,bottom
"J2","Conn_01x04_Female","PinSocket_1x04_P2.54mm_Vertical",-26.568000,27.178000,0.000000,bottom
"J3","Conn_01x06_Female","JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical",22.115000,33.020000,-90.000000,bottom
"J4","Conn_01x10_Female","PinHeader_1x10_P2.54mm_Vertical",11.425000,-27.940000,-90.000000,bottom
"J5","Conn_01x06_Female","JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical",28.465000,33.020000,-90.000000,bottom
"J6","Conn_01x10_Female","PinSocket_1x10_P2.54mm_Vertical",11.425000,-24.475000,-90.000000,bottom
"J7","Conn_01x03_Female","PinSocket_1x03_P2.54mm_Vertical",11.542000,24.282000,-90.000000,bottom
"J8","Conn_01x08_Female","PinSocket_1x08_P2.54mm_Vertical",-19.558000,34.798000,180.000000,bottom
"J9","Conn_01x02_Female","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",30.520000,3.827000,180.000000,bottom
"J10","Conn_01x04_Female","JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical",24.070000,-25.925000,0.000000,bottom
"J11","Conn_01x03_Female","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",-34.146000,-24.170000,-90.000000,bottom
"J12","Conn_01x03_Female","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",-27.415000,-24.170000,-90.000000,bottom
"SW3","SW_DIP_x01","2MS1T2B4M2QES",-29.845000,-18.415000,-90.000000,bottom
"U2","TSSP58038","TSSP58038_IR",0.000000,-46.990000,180.000000,bottom
"U3","TSSP58038","TSSP58038_IR",17.982294,-43.413099,157.500000,bottom
"U4","TSSP58038","TSSP58038_IR",33.226948,-33.226948,135.000000,bottom
"U5","TSSP58038","TSSP58038_IR",43.413099,-17.982294,112.500000,bottom
"U6","TSSP58038","TSSP58038_IR",46.990000,0.000000,90.000000,bottom
"U7","TSSP58038","TSSP58038_IR",43.413099,17.982294,67.500000,bottom
"U8","TSSP58038","TSSP58038_IR",33.226948,33.226948,45.000000,bottom
"U9","TSSP58038","TSSP58038_IR",17.982294,43.413099,22.500000,bottom
"U11","TSSP58038","TSSP58038_IR",0.000000,46.990000,0.000000,bottom
"U12","TSSP58038","TSSP58038_IR",-17.982294,43.413099,-22.500000,bottom
"U13","TSSP58038","TSSP58038_IR",-33.226948,33.226948,-45.000000,bottom
"U14","TSSP58038","TSSP58038_IR",-43.413099,17.982294,-67.500000,bottom
"U15","TSSP58038","TSSP58038_IR",-46.990000,0.000000,-90.000000,bottom
"U16","TSSP58038","TSSP58038_IR",-43.413099,-17.982294,-112.500000,bottom
"U17","TSSP58038","TSSP58038_IR",-33.226948,-33.226948,-135.000000,bottom
"U18","TSSP58038","TSSP58038_IR",-17.982294,-43.413099,-157.500000,bottom
"U19","open_mv","OpenMV",0.000000,-8.001000,0.000000,bottom
"U21","Teensy4.0","Teensy_Brakeout",33.020000,0.000000,180.000000,bottom
