Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","C","C_0402_1005Metric",44.987068,10.301755,-135.000000,top
"C2","C","C_0402_1005Metric",41.055554,14.272867,-135.000000,top
"C3","100nF","C_0402_1005Metric",47.653000,-2.667000,0.000000,top
"C4","22pF","C_0402_1005Metric",33.782000,10.668000,135.000000,top
"C5","100nF","C_0402_1005Metric",32.258000,9.144000,-45.000000,top
"C6","100nF","C_0402_1005Metric",44.450000,5.588000,-45.000000,top
"C7","100nF","C_0402_1005Metric",29.718000,-6.096000,135.000000,top
"C8","100nF","C_0402_1005Metric",40.259000,-9.906000,90.000000,top
"C9","22pF","C_0402_1005Metric",24.630055,7.302712,45.000000,top
"C10","22pF","C_0402_1005Metric",26.266300,8.938957,-135.000000,top
"C11","1uF","C_0402_1005Metric",25.908000,12.954000,-135.000000,top
"C12","104","C_0402_1005Metric",-5.334000,-52.070000,-90.000000,top
"C13","104","C_0402_1005Metric",-24.854300,-46.065174,-112.500000,top
"C14","104","C_0402_1005Metric",-40.590758,-33.047343,-135.000000,top
"C15","104","C_0402_1005Metric",-50.147641,-14.998353,-157.500000,top
"C16","104","C_0402_1005Metric",-52.070000,5.334000,180.000000,top
"C17","104","C_0402_1005Metric",-46.065174,24.854300,157.500000,top
"C18","104","C_0402_1005Metric",-33.047343,40.590758,135.000000,top
"C19","104","C_0402_1005Metric",-14.998353,50.147641,112.500000,top
"C20","100nF","C_0402_1005Metric",28.140690,10.910184,45.000000,top
"C21","104","C_0402_1005Metric",5.334000,52.070000,90.000000,top
"C22","104","C_0402_1005Metric",24.854300,46.065174,67.500000,top
"C23","104","C_0402_1005Metric",40.590758,33.047343,45.000000,top
"C24","104","C_0402_1005Metric",50.147641,14.998353,22.500000,top
"C25","104","C_0402_1005Metric",52.070000,-5.334000,0.000000,top
"C26","104","C_0402_1005Metric",46.065174,-24.854300,-22.500000,top
"C27","104","C_0402_1005Metric",33.047343,-40.590758,-45.000000,top
"C28","104","C_0402_1005Metric",14.998353,-50.147641,-67.500000,top
"C29","100nF","C_0402_1005Metric",32.512000,18.288000,45.000000,top
"C30","C_Small","C_0603_1608Metric",25.019000,-11.430000,-45.000000,top
"C31","C_Small","C_0603_1608Metric",25.273000,-4.318000,-45.000000,top
"C32","C_Small","C_0402_1005Metric",4.064000,54.610000,90.000000,top
"C33","C_Small","C_0402_1005Metric",48.897836,-24.652989,-22.500000,top
"C34","C_Small","C_0402_1005Metric",-41.488783,-35.741419,-135.000000,top
"C35","C_Small","C_0603_1608Metric",23.241000,-6.350000,135.000000,top
"C36","C_Small","C_0603_1608Metric",29.337000,-12.700000,-45.000000,top
"C37","C_Small","C_0402_1005Metric",24.652989,48.897836,67.500000,top
"C38","C_Small","C_0402_1005Metric",32.258000,-41.402000,-45.000000,top
"C39","C_Small","C_0402_1005Metric",-52.008287,-17.143696,-157.500000,top
"C40","C_Small","C_0402_1005Metric",41.488783,35.741419,45.000000,top
"C41","C_Small","C_0402_1005Metric",17.143696,-52.008287,-67.500000,top
"C42","C_Small","C_0402_1005Metric",-54.610000,4.064000,180.000000,top
"C43","C_Small","C_0402_1005Metric",52.034155,17.154411,22.500000,top
"C44","C_Small","C_0402_1005Metric",-4.064000,-54.610000,-90.000000,top
"C45","C_Small","C_0402_1005Metric",-48.897836,24.652989,157.500000,top
"C46","C_Small","C_0402_1005Metric",54.610000,-4.064000,0.000000,top
"C47","C_Small","C_0402_1005Metric",-24.652989,-48.897836,-112.500000,top
"C48","C_Small","C_0402_1005Metric",-32.385000,41.275000,135.000000,top
"C49","C_Small","C_0402_1005Metric",-17.143696,52.008287,112.500000,top
"D1","LED","LED_0402_1005Metric",39.624000,-13.716000,-90.000000,top
"D2","LED","LED_0402_1005Metric",37.592000,-13.716000,-90.000000,top
"D3","LED","LED_0402_1005Metric",35.686000,-13.716000,-90.000000,top
"D4","LED","LED_0402_1005Metric",41.656000,-13.716000,-90.000000,top
"D5","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",0.000000,56.515000,180.000000,top
"D6","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",52.213052,-21.627354,67.500000,top
"D7","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-39.962140,-39.962140,-45.000000,top
"D8","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",21.627354,52.213052,157.500000,top
"D9","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",39.962140,-39.962140,45.000000,top
"D10","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-52.213052,-21.627354,-67.500000,top
"D11","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",39.962140,39.962140,135.000000,top
"D12","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",21.627354,-52.213052,22.500000,top
"D13","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-56.515000,0.000000,-90.000000,top
"D14","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",52.213052,21.627354,112.500000,top
