Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"10μF","10μF","C_Disc_D5.1mm_W3.2mm_P5.00mm",154.178000,-88.098000,90.000000,top
"22μF","22μF","C_Disc_D5.1mm_W3.2mm_P5.00mm",149.606000,-88.098000,90.000000,top
"BT1","Battery","JST_VH_B2P-VH-B_1x02_P3.96mm_Vertical",137.403020,-86.863163,45.000000,top
"C3","0.33μF","C_Disc_D3.0mm_W1.6mm_P2.50mm",162.072000,-109.474000,0.000000,top
"C4","33μF","C_Radial_D6.3mm_H11.0mm_P2.50mm",170.063000,-106.867468,-60.000000,top
"D1","D_Shockley","D_5W_P12.70mm_Horizontal",128.351872,-102.026129,45.000000,top
"F1","Fuse","fuse_socket",130.810000,-95.504000,-135.000000,top
"Kiker PSU","Conn_01x02_Female","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",160.706969,-86.530337,30.000000,top
"MB","Conn_01x03_Female","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",165.720437,-100.109337,30.000000,top
"MD","Conn_01x02_Female","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",164.262969,-92.626337,30.000000,top
"MES1","Voltmeter_DC","voltage_counter",153.670000,-128.637000,180.000000,top
"R1","20K","R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",142.748000,-92.456000,-90.000000,top
"R2","1.2k","R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",147.574000,-108.712000,180.000000,top
"RV1","R_Potentiometer_Trim_US","Potentiometer_Bourns_3296W_Vertical",152.136000,-108.712000,180.000000,top
"SW1","SW_DIP_x01","DS-850k",133.096000,-117.094000,-90.000000,top
"SW2","SW_DIP_x01","2MS1T2B4M2QES",138.684000,-99.060000,180.000000,top
"U1","OKL-T_6-W12N-C","DCDC-murata-6A",145.538000,-103.636000,0.000000,top
"U2","TA48033S","TA48033S",163.322000,-111.252000,0.000000,top
